,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
bread,0,0,0,0,0,0,0,0
multiplication,0,0,0,0,0,0,0,0
subtraction,0,0,0,0,0,0,0,0
fall,0,0,0,0,0,1,0,0
grow,0,1,0,0,1,0,0,1
night,0,0,0,0,0,0,0,0
blood,0,0,0,1,0,0,0,0
haemoglobin,0,0,0,0,0,0,0,0
sight,0,0,0,0,0,0,0,0
metabolism,0,0,0,0,0,0,0,0
restoration,0,0,0,0,0,0,0,0
species,0,0,0,0,0,0,0,0
prejugé,0,0,0,0,0,0,0,0
pills,0,0,0,0,0,0,0,1
novel,0,0,0,0,0,0,0,0
pen,0,0,0,0,0,0,0,0
poet,0,0,0,0,0,0,0,0
produce,0,0,0,0,0,0,0,0
criminal,1,0,1,1,0,0,0,0
knife,0,0,0,0,0,0,0,0
crazy,1,0,0,1,0,1,0,0
fly,0,0,0,0,0,0,0,0
pigeon,0,0,0,0,0,0,0,0
crane,0,0,0,0,0,0,0,0
priori,0,0,0,0,0,0,0,0
loud,0,0,0,0,0,0,0,0
glass,0,0,0,0,0,0,0,0
umbrella,0,0,0,0,0,0,0,0
ant,0,0,0,0,0,0,0,0
environmental,0,0,0,0,0,0,0,0
closed,0,0,0,0,0,0,0,0
evolve,0,0,0,0,0,0,0,0
improve,0,1,0,0,1,0,0,1
hide,0,0,0,1,0,0,0,0
paradigm,0,0,0,0,0,0,0,0
ampere,0,0,0,0,0,0,0,0
president,0,0,0,0,0,0,0,1
cage,0,0,0,0,0,1,0,0
drugs,0,0,0,0,0,0,0,0
Lemma,0,0,0,0,0,0,0,0
redemption,0,0,0,0,0,0,0,0
shawshank,0,0,0,0,0,0,0,0
stockholm,0,0,0,0,0,0,0,0
amazing,0,0,0,0,0,0,0,0
clown,0,1,0,0,1,0,1,0
electro,0,0,0,0,0,0,0,0
faraday,0,0,0,0,0,0,0,0
maxwell,0,0,0,0,0,0,0,0
north,0,0,0,0,0,0,0,0
sensor,0,0,0,0,0,0,0,0
south,0,0,0,0,0,0,0,0
aluminium,0,0,0,0,0,0,0,0
construction,0,0,0,0,0,0,0,0
electric,0,0,0,0,1,0,1,0
gold,0,0,0,0,0,0,0,0
iron,0,0,0,0,0,0,0,1
material,0,0,0,0,0,0,0,0
steel,0,0,0,0,0,0,0,0
accelerator,0,0,0,0,0,0,0,0
sphere,0,0,0,0,0,0,0,0
scribble,0,0,0,0,0,0,0,0
assumption,0,0,0,0,0,0,0,0
begin,0,0,0,0,0,0,0,0
discourse,0,0,0,0,0,0,0,0
post,0,0,0,0,0,0,0,0
colleague,0,0,0,0,0,0,0,0
frustration,1,0,0,0,0,0,0,0
jump,0,0,0,0,1,0,0,0
sprint,0,0,0,0,0,0,0,0
walk,0,0,0,0,0,0,0,0
formula,0,0,0,0,0,0,0,1
engine,0,0,0,0,0,0,0,0
aid,0,0,0,0,0,0,0,0
disturbance,1,0,0,1,0,1,1,0
brown,0,0,0,0,0,0,0,0
demographic,0,0,0,0,0,0,0,0
earplugs,0,0,0,0,0,0,0,0
escenario,0,0,0,0,0,0,0,0
here,0,0,0,0,0,0,0,0
incident,0,0,0,0,0,0,1,0
tense,0,0,0,0,0,0,0,0
housing,0,0,0,0,0,0,0,0
regional,0,0,0,0,0,0,0,0
roof,0,0,0,0,0,0,0,0
seven,0,0,0,0,0,0,0,0
from,0,0,0,0,0,0,0,0
interval,0,0,0,0,0,0,0,0
to,0,0,0,0,0,0,0,0
down,0,0,0,0,0,1,0,0
home,0,0,0,0,1,0,0,0
hometown,0,0,0,0,0,0,0,0
lawrence,0,0,0,0,0,0,0,0
urban,0,0,0,0,0,0,0,0
village,0,0,0,0,0,0,0,0
wife,0,0,0,0,0,0,0,0
message,0,0,0,0,0,0,0,0
butterfly,0,0,0,0,0,0,0,0
mommy,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0
style,0,0,0,0,0,0,0,0
avatar,0,0,0,0,0,0,0,0
funny,0,0,0,0,0,0,0,0
role,0,0,0,0,0,0,0,0
shakespeare,0,0,0,0,0,0,0,0
theatre,0,0,0,0,0,0,0,0
article,0,0,0,0,0,0,0,0
co-author,0,0,0,0,0,0,0,1
last,0,0,0,0,0,0,0,0
big,0,0,0,0,0,0,0,0
collaborator,0,0,0,0,0,0,0,1
senior,0,0,0,0,0,0,0,0
alive,0,1,0,0,1,0,0,1
elephant,0,0,0,0,0,0,0,0
mother,0,1,0,0,1,1,0,1
button,0,0,0,0,0,0,0,0
freedom,0,0,0,0,1,0,0,1
over,0,0,0,0,0,0,0,0
lorentz,0,0,0,0,0,0,0,0
entry,0,0,0,0,0,0,0,0
score,0,1,0,0,1,0,1,0
airconditioning,0,0,0,0,0,0,0,0
chemio,0,0,0,0,0,0,0,0
minuscule,0,0,0,0,0,0,0,0
shuttle,0,0,0,0,0,0,0,0
sleep,0,0,0,0,0,0,0,0
jaume,0,0,0,0,0,0,0,0
dot,0,0,0,0,0,0,0,0
finger,0,0,0,0,0,0,0,0
mouse,0,0,0,0,0,0,0,0
question_mark,0,0,0,0,0,0,0,0
site,0,0,0,0,0,0,0,0
what,0,0,0,0,0,0,0,0
french,0,0,0,0,0,0,0,0
segregation,0,0,0,0,0,0,0,0
heard,0,0,0,0,0,0,0,0
illumination,0,0,0,0,1,0,1,1
pestilence,0,0,1,1,0,0,0,0
breaking_bad,0,0,0,0,0,0,0,0
instability,0,0,1,1,0,0,0,0
sensitive,0,0,0,0,0,0,0,0
unstable,0,0,0,1,0,0,1,0
tissue,0,0,0,0,0,0,0,0
herb,0,0,0,0,0,0,0,0
clustering,0,0,0,0,0,0,0,0
metropolis,0,0,0,0,0,0,0,0
blue,0,0,0,0,0,1,0,0
puncture,1,0,0,0,0,0,0,0
mental,0,0,0,1,0,0,0,0
abduction,0,0,0,1,0,1,1,0
dream,0,0,0,0,1,0,0,0
news,0,0,0,0,0,0,0,0
confusion,1,0,0,1,0,1,0,0
bbc,0,0,0,0,0,0,0,0
advert,0,0,0,0,0,0,0,0
create,0,0,0,0,1,0,0,0
dux,0,0,0,0,0,0,0,0
product,0,0,0,0,0,0,0,0
petrol,0,0,0,0,0,0,0,0
assist,0,0,0,0,0,0,0,1
emergency,0,0,0,1,0,1,1,0
noisy,1,0,0,0,0,0,0,0
email,0,0,0,0,0,0,0,0
mail,0,1,0,0,0,0,0,0
send,0,0,0,0,0,0,0,0
sms,0,0,0,0,0,0,0,0
font,0,0,0,0,0,0,0,1
collapse,0,0,1,1,0,1,0,0
basil,0,0,0,0,0,0,0,0
leaves,0,0,0,0,0,1,1,0
marihuana,0,0,0,0,0,0,0,0
pasta,0,0,0,0,0,0,0,0
spices,0,0,0,0,0,0,0,0
tea,0,0,0,0,0,0,0,0
trimmer,0,0,0,0,0,0,0,0
vegetables,0,0,0,0,0,0,0,0
superman,0,0,0,0,1,0,0,1
destroy,0,0,0,0,0,0,0,0
remove,1,0,0,1,0,1,0,0
